"Campaign Id","Campaign Name",Channel,Status,"Campaign Type","Message Type","Split Id",Sender,"Subject line or Title",Entered,"Sent Date","Published Time",Published,Sent,"Sent %",Delivered,"Delivered %","Amplified Delivery","Total Opened/Read","Unique Opened","Unique Opened %","Total Clicked","Unique Clicked","Unique Clicked %",Conversions,"Conversion %","Unique Conversions",Revenue,"Not Sent","Not Sent %",Unsubscribed,"Unsubscribed %",Bounce,"Bounce %",Abuse,"Abuse %",Forward,Tags,"List Names","List IDs","Segment Names","Segment IDs","UDT Names","UDT IDs","Msg Size","App Name",OS,"All Users","Rich Type","Total AMP Opened","Unique AMP Opened ","Total HTML Opened","Unique HTML Opened","Total AMP Clicked","Unique AMP Clicked","Total HTML Clicked","Unique HTML Clicked","Total AMP Submission","Unique AMP Submission"
33395,"UN CB 50","App Push",Sent,Regular,NA,0,NA,"₹50 is waiting for You! 💸","2023-04-03 12:22:27",,"2023-04-03 13:07:00",5294,5294,100,517,9.77,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 50 ONE,UN CB 50 TWO","16773,16774",,,,,,MyTeam11-iOS,iOS,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33395,"UN CB 50","App Push",Sent,Regular,NA,0,NA,"₹50 is waiting for You! 💸","2023-04-03 12:22:27",,"2023-04-03 13:07:00",46147,46147,100,11770,25.51,0,NA,NA,NA,103,103,0.22,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 50 ONE,UN CB 50 TWO","16773,16774",,,,,,MyTeam11-Android,Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33399,"UN CB  100","App Push",Sent,Regular,NA,0,NA,"₹100 is waiting for You! 💸","2023-04-03 12:26:19",,"2023-04-03 13:07:00",2337,2337,100,341,14.59,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 100 ONE",16776,,,,,,MyTeam11-iOS,iOS,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33399,"UN CB  100","App Push",Sent,Regular,NA,0,NA,"₹100 is waiting for You! 💸","2023-04-03 12:26:19",,"2023-04-03 13:07:00",17959,17959,100,4581,25.51,0,NA,NA,NA,42,42,0.23,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 100 ONE",16776,,,,,,MyTeam11-Android,Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33400,"UN CB 100 PS","App Push",Sent,Regular,NA,0,NA,"₹100 is waiting for You! 💸","2023-04-03 12:29:37",,"2023-04-03 13:07:00",7555,7555,100,1957,25.9,0,NA,NA,NA,62,62,0.82,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 100 ONE",16776,,,,,,"MyTeam11 PlayStore",Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33390,"UN CB 25","App Push",Sent,Regular,NA,0,NA,"₹25 is waiting for You! 💸","2023-04-03 12:07:12",,"2023-04-03 13:06:00",9515,9515,100,683,7.18,0,NA,NA,NA,2,2,0.02,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 25 FIVE,UN CB 25 FOUR,UN CB 25 ONE,UN CB 25 THREE,UN CB 25 TWO","16768,16769,16770,16771,16772",,,,,,MyTeam11-iOS,iOS,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33390,"UN CB 25","App Push",Sent,Regular,NA,0,NA,"₹25 is waiting for You! 💸","2023-04-03 12:07:12",,"2023-04-03 13:06:00",65954,65954,100,15989,24.24,0,NA,NA,NA,110,109,0.17,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 25 FIVE,UN CB 25 FOUR,UN CB 25 ONE,UN CB 25 THREE,UN CB 25 TWO","16768,16769,16770,16771,16772",,,,,,MyTeam11-Android,Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33394,"UN CB 25 PS","App Push",Sent,Regular,NA,0,NA,"₹25 is waiting for You! 💸","2023-04-03 12:19:12",,"2023-04-03 13:06:00",84148,84148,100,14818,17.61,0,NA,NA,NA,536,536,0.64,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 25 FIVE,UN CB 25 FOUR,UN CB 25 ONE,UN CB 25 THREE,UN CB 25 TWO","16768,16769,16770,16771,16772",,,,,,"MyTeam11 PlayStore",Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33396,"UN CB 50 PS","App Push",Sent,Regular,NA,0,NA,"₹50 is waiting for You! 💸","2023-04-03 12:24:12",,"2023-04-03 13:06:00",27211,27211,100,6086,22.37,0,NA,NA,NA,215,215,0.79,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 50 ONE,UN CB 50 TWO","16773,16774",,,,,,"MyTeam11 PlayStore",Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33401,"UN CB 75 PS","App Push",Sent,Regular,NA,0,NA,"₹75 is waiting for You! 💸","2023-04-03 12:34:32",,"2023-04-03 13:05:00",5179,5179,100,1356,26.18,0,NA,NA,NA,43,43,0.83,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,,"UN CB 75 ONE",16775,,,,,,"MyTeam11 PlayStore",Android,No,Image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
