Channel,Status,Subject line or Title,Delivered,Unique Clicked,client
Email,Sent,🌅Discover the Beauty of Mauritius This Summer!,395611,537.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",175041,461.0,thomascook
Web Push,Suspended,Amazing Andaman,0,0.0,thomascook
Web Push,Sent,Vietnam Durga Puja Special,170380,801.0,thomascook
Web Push,Suspended,Phuket - Buy 1 Get 1 Free,0,0.0,thomascook
Web Push,Sent,Amazing Andaman,172392,890.0,thomascook
Web Push,Suspended,Europe for All,0,0.0,thomascook
Web Push,Sent,Stunning Kashmir With Gulmarg,176014,789.0,thomascook
Web Push,Suspended,Stunning Kashmir With Gulmarg,0,0.0,thomascook
Web Push,Sent,Phuket - Buy 1 Get 1 Free,180672,1146.0,thomascook
Email,Sent,Now earn Club Vistara points on your Vistara Getaways ✈,363386,1390.0,thomascook
Web Push,Sent,Spanish Bliss,183702,860.0,thomascook
Web Push,Sent,Ladakh with Turtuk - Air Inclusive ✈️,186451,1001.0,thomascook
Web Push,Sent,Exotic Kerala,183642,994.0,thomascook
Email,Sent,Meet Your New Travel Buddy 💳,219720,853.0,thomascook
Email,Sent,An epic adventure awaits you🧳✈️,686992,1165.0,thomascook
Web Push,Sent,Best Of Bali,185625,1153.0,thomascook
Email,Sent,"Australia! Experience it with, who know it best. Come & say G'day",582141,737.0,thomascook
Email,Sent,Don’t spoil the fun of holiday planning worrying about forex.,178743,542.0,thomascook
Web Push,Sent,Magical Dubai With Abu Dhabi,183300,835.0,thomascook
Web Push,Sent,Wow Andaman,185537,1096.0,thomascook
Email,Sent,Shop Till You Drop on your next European holiday,792669,1473.0,thomascook
Web Push,Suspended,Exotic Kashmir with Sonmarg,0,0.0,thomascook
Web Push,Sent,Exotic Kashmir with Sonmarg,182474,934.0,thomascook
Web Push,Sent, Explore Vietnam,184178,1007.0,thomascook
Email,Sent,Himachal Pradesh – Where Heaven Meets Earth 🏔️,552707,2724.0,thomascook
Web Push,Sent,Singapore Getaway - Flight Inclusive ✈️,182230,1003.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",183353,572.0,thomascook
Web Push,Sent,Alluring Bhutan,169916,884.0,thomascook
Web Push,Sent,Marvels Of Thailand,171240,866.0,thomascook
Web Push,Sent, Grand Bargain Australia - Air Inclusive✈️,173368,784.0,thomascook
Email,Sent,An unforgettable experience awaits you,453111,1631.0,thomascook
Web Push,Sent,Uttarakhand - Nainital with Corbett,175629,834.0,thomascook
Web Push,Sent,North East Delight With Pelling,179003,786.0,thomascook
Email,Sent,Thomas Cook Best-Selling Europe Holiday - Know More,1025649,2429.0,thomascook
Web Push,Sent,Canadian Delights,181994,989.0,thomascook
Web Push,Sent,Grand Bargain Tour Of USA with Orlando🗽,179648,895.0,thomascook
Web Push,Sent,Himachal - Spiti Trip🌄,180538,910.0,thomascook
Email,Sent,We've got a deal for your little one,300301,1440.0,thomascook
Web Push,Sent,Shop till you Drop on your next European Holiday,174990,516.0,thomascook
Web Push,Sent,Magical Ladakh,165220,812.0,thomascook
Web Push,Sent,Romantic Bali,178660,1139.0,thomascook
Email,Sent,Now earn Club Vistara points on your Vistara Getaways ✈,248604,1469.0,thomascook
Web Push,Sent,Serene Kerala,179631,966.0,thomascook
Email,Sent,"Free Entry to the Tulip Gardens🌷 in Kashmir, the heaven on earth",462679,2111.0,thomascook
Web Push,Sent,Amazing Andaman,177494,1000.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",177706,556.0,thomascook
Web Push,Sent,Dubai Fully Loaded - Buy 1 Get 1 Free,165380,931.0,thomascook
Web Push,Sent,Exotic Kashmir with Sonmarg,165470,814.0,thomascook
Web Push,Sent,Amazing Bhutan,169151,962.0,thomascook
Web Push,Sent,Vibrant Vietnam - Air Inclusive ✈️,173740,852.0,thomascook
Email,Sent,India Holiday Festival is On… 🧳 ✈,956754,4117.0,thomascook
Web Push,Sent,Singapore Getaway - Flight Inclusive ✈️,176034,798.0,thomascook
Email,Suspended,"🎂[FIRST_NAME], Happy Birthday to You",27746,224.0,thomascook
Email,Suspended,🎂Your birthday is coming up soon,28202,251.0,thomascook
Email,Suspended,🎂Your birthday is coming up soon,27432,252.0,thomascook
Web Push,Sent,Uttarakhand - Nainital with Corbett,178488,885.0,thomascook
Web Push,Sent,North East Delight With Pelling,176734,846.0,thomascook
Web Push,Sent,Thailand Highlights,178173,1050.0,thomascook
Web Push,Sent,Visit Gold Coast,176530,914.0,thomascook
Email,Sent,📞Vietnam calling - Trending destination this season,550804,3094.0,thomascook
Web Push,Sent,Himachal - Experience Of Manali By Volvo ☃️,176107,832.0,thomascook
Email,Sent,"💱 Get Best Rates on Forex, Even at Last Minute!",103794,364.0,thomascook
Web Push,Sent,Captivating Ladakh,176310,764.0,thomascook
Email,Sent,Book Vistara Getaways and Earn CV Points! ✈,256635,1185.0,thomascook
Web Push,Sent,Canadian Delights,173910,970.0,thomascook
Web Push,Sent,Eastern Delights,175905,903.0,thomascook
Email,Sent,Experience a different side of Africa in 2023 🐆,710713,886.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",175123,526.0,thomascook
Web Push,Sent,Serene Kerala,164743,861.0,thomascook
Web Push,Sent,Super Budget Tour Of Europe,165273,765.0,thomascook
Web Push,Sent,We'll Take You on an Epic Adventure,168196,583.0,thomascook
Email,Sent,An Epic Adventure Awaits You 🪂,784451,2671.0,thomascook
Web Push,Sent,Andaman for All - Air Inclusive ✈️,169760,986.0,thomascook
Email,Sent,🤑 Prices Slashed on Air Inclusive India Holidays ✈️,666832,5170.0,thomascook
Web Push,Sent,Best of Kashmir With Gulmarg Excursion,173062,808.0,thomascook
Web Push,Sent,Abu Dhabi Fully Loaded,174877,914.0,thomascook
Web Push,Sent,Vibrant Vietnam,173620,944.0,thomascook
Email,Sent,"Australia! Experience it with, who know it best. Come & say G'day",593355,1630.0,thomascook
Web Push,Sent,Striking Bhutan,174972,875.0,thomascook
Web Push,Sent,Uttarakhand - Mussoorie With Rishikesh,170237,764.0,thomascook
Web Push,Sent,Classic Singapore,170278,835.0,thomascook
Web Push,Sent,Marvels Of Thailand,168946,930.0,thomascook
Web Push,Sent,Amazing North East,172328,787.0,thomascook
Email,Sent,FxNOW: Check out our New Forex App 📲,116938,224.0,thomascook
Web Push,Sent,Himachal - Experience Of Manali By Volvo ☃️,172957,807.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",173252,528.0,thomascook
Web Push,Sent,Grand Bargain Australia,161570,647.0,thomascook
Web Push,Sent,Magical Ladakh,164241,773.0,thomascook
Web Push,Sent,Hills Of Kerala,166597,895.0,thomascook
Web Push,Sent,Best of Canadian Rockies,169158,797.0,thomascook
Web Push,Sent,East USA for All,173507,911.0,thomascook
Email,Sent,Presenting ⏰ 48 Hrs Flash Sale ✈️,94522,1227.0,thomascook
Web Push,Sent,Amazing Andaman,175325,888.0,thomascook
Email,Sent,Here’s an easy way to earn KrisFlyer miles with Thomas Cook ✈,247328,89.0,thomascook
Web Push,Sent,Exotic Kashmir with Gulmarg - Air Inclusive ✈️,175927,843.0,thomascook
Email,Sent,Darshans! 🙏 Experience the spiritual bliss.,689475,2653.0,thomascook
Web Push,Sent,Europe for All,181925,908.0,thomascook
Web Push,Sent,Bali Loaded - Buy 1 Get 1 Free,185219,974.0,thomascook
Email,Sent,Best time to plan Your Europe ! Best Price is Guaranteed 🌍,1167237,2871.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",198088,480.0,thomascook
Web Push,Sent,Andaman for All - Air Inclusive ✈️,208969,1011.0,thomascook
Email,Sent,Yaadon Ke Rang Thomas Cook Ke Sang,794481,4110.0,thomascook
Web Push,Sent,Dubai Fully Loaded - Buy 1 Get 1 Free,216932,1043.0,thomascook
Email,Sent,An Epic Adventure Awaits You 🪂,785564,2234.0,thomascook
Web Push,Sent,Japan - Cherry Blossom 🌸,210894,880.0,thomascook
Web Push,Sent,Exotic Kashmir with Sonmarg - Air Inclusive ✈️,213666,889.0,thomascook
Web Push,Sent,Captivating Ladakh,199312,655.0,thomascook
Web Push,Sent,Classic Bali,201665,958.0,thomascook
Web Push,Suspended,Captivating Ladakh,0,0.0,thomascook
Web Push,Sent,Maldives - Maayafushi Resort,173817,792.0,thomascook
Web Push,Sent,Himachal - Experience Of Manali By Volvo,196433,649.0,thomascook
Web Push,Sent,Alluring Bhutan ⛰️,208871,852.0,thomascook
Web Push,Sent,Swiss with Paris: A Dream Getaway!,209626,657.0,thomascook
Web Push,Sent,We'll Take You on an Epic Adventure,209677,663.0,thomascook
Web Push,Sent,Gujarat Extravaganza,209850,801.0,thomascook
Web Push,Sent,Blend Of Mughal and Rajput Culture,209740,731.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",210499,455.0,thomascook
Email,Sent,Ae Haalo..Thomas Cook Gujarati Special Tours 🗽🗼,842282,2952.0,thomascook
Web Push,Sent,Classic Malaysia,211633,1036.0,thomascook
Email,Suspended,Simply Holidays At Affordable Price🗺️✈️,0,0.0,thomascook
Web Push,Sent,Uttar Pradesh - Varanasi and Prayagraj Getaway,212523,701.0,thomascook
Email,Sent,FxNOW: Check out our New Forex App 📲,174726,249.0,thomascook
Web Push,Sent,Wonders Of Shillong And Guwahati,211215,733.0,thomascook
Web Push,Sent,Dubai Fully Loaded - Buy 1 Get 1 Free,211288,1136.0,thomascook
Web Push,Sent,Japan - Cherry Blossom,199522,792.0,thomascook
Web Push,Sent,Divine Kathmandu,202637,738.0,thomascook
Web Push,Sent,Kerala At Ease,202353,747.0,thomascook
Email,Sent,Your Two Wheels of Freedom - Bike Trips Across India! 🏍,521449,865.0,thomascook
Web Push,Sent,Maldives - Maayafushi Resort,209314,778.0,thomascook
Web Push,Sent,Uttarakhand - Mussoorie With Rishikesh,209910,769.0,thomascook
Web Push,Sent,Char Dham Yatra By Helicopter,209381,874.0,thomascook
Email,Sent,Simply Holidays At Affordable Price🗺️✈️,573666,3141.0,thomascook
Web Push,Sent,Swiss with Paris: A Dream Getaway!,210512,616.0,thomascook
Web Push,Sent,European Bliss,51602,530.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",208197,478.0,thomascook
Email,Sent,It's Cherry Blossom in Japan & it's once-in-a-lifetime experience🌸,20418,74.0,thomascook
Email,Sent,It's Cherry Blossom in Japan & it's once-in-a-lifetime experience🌸,1148503,700.0,thomascook
Web Push,Sent,Splendid Kerala,210337,783.0,thomascook
Email,Sent,📢Hurry!! Valentine's Day Flash Sale Is On! ❤️🎁,842403,1444.0,thomascook
Web Push,Sent,Vietnam Delights,209046,982.0,thomascook
Email,Sent,💸 Send money abroad even after banking hours! 🌍,33159,45.0,thomascook
Web Push,Sent,Magical Dubai - Air Inclusive ✈️,209353,832.0,thomascook
Web Push,Sent,Amazing Andaman,207153,777.0,thomascook
Web Push,Sent,Exotic Kashmir with Sonmarg - Air Inclusive ✈️,196127,693.0,thomascook
Web Push,Sent,Contrast Of Japan by Europamundo,198475,615.0,thomascook
Email,Sent,Best Price Guaranteed on Kashmir Holidays !,383209,730.0,thomascook
Web Push,Sent,Bali Loaded - Buy 1 Get 1 Free,199785,820.0,thomascook
Email,Sent,Best Price Guaranteed on Kashmir Holidays !,883777,1546.0,thomascook
Web Push,Sent,Magical Ladakh,202738,703.0,thomascook
Web Push,Sent,Himachal - Experience Of Manali By Volvo,205250,774.0,thomascook
Email,Sent,Holiday in Singapore is incomplete without this!,152323,854.0,thomascook
Web Push,Sent,Maldives - Gangehi Island Resort,211276,783.0,thomascook
Web Push,Sent,Swiss with Paris: A Dream Getaway!,207016,639.0,thomascook
Email,Sent,Swiss and Paris - A match made in heaven🗼,1317500,6429.0,thomascook
Web Push,Sent,Mesmerizing Bhutan,207789,832.0,thomascook
Web Push,Sent,Gujarat - Dwarka Somnath With Sasangir,206256,773.0,thomascook
Email,Sent,"Australia! Experience it with, who knows it best. Come & say a G'day",600365,2596.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",208627,446.0,thomascook
Email,Sent,Experience the beauty of Andaman - A Holiday Like No Other!,790823,2840.0,thomascook
Web Push,Sent,East European Bliss,207076,776.0,thomascook
Web Push,Sent,Stunning Rajasthan,210428,741.0,thomascook
Web Push,Sent,"Uttar Pradesh - Varanasi, Prayagraj with Chitrakoot",205387,802.0,thomascook
Web Push,Sent,Simply Thailand - Flights Inclusive ✈️,207611,911.0,thomascook
Web Push,Sent,Magical Dubai With Abu Dhabi,194083,672.0,thomascook
Web Push,Sent,Amazing North East,193277,646.0,thomascook
Web Push,Sent,Best Of Nepal,198655,815.0,thomascook
Email,Sent,Maldives: Make your Valentine sparkle! 💘,503407,2724.0,thomascook
Web Push,Sent,From Seoul To Hiroshima by Europamundo,201872,690.0,thomascook
Web Push,Sent,Bali Delights,207373,1052.0,thomascook
Email,Sent,"Golden sands, Rich red rocks & Incredible Sunsets Await you",303053,1360.0,thomascook
Web Push,Sent,Tamil Nadu - Ooty Kodaikanal,206400,799.0,thomascook
Web Push,Sent,Uttarakhand - Nainital with Corbett,207039,809.0,thomascook
Email,Sent,Discover Dubai with Emirates Holidays.,106877,1471.0,thomascook
Web Push,Sent,Maldives - Maayafushi Resort,207993,950.0,thomascook
Web Push,Sent,Swiss with Paris: A Dream Getaway!,204474,688.0,thomascook
Email,Sent,🦬 Experience the Thrill of the Wilderness 🐅,591508,1242.0,thomascook
Web Push,Suspended,"💸 Think Forex, Think Thomas Cook.",0,0.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",205596,449.0,thomascook
Web Push,Sent,Best of Rajasthan,208678,889.0,thomascook
Email,Sent,Forex with Best Price Guarantee 💱🤑,557618,980.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",206469,483.0,thomascook
Web Push,Sent,Honeymoon - Amazing Moments Himachal,192589,762.0,thomascook
Email,Sent,Australia? We know the place well.,589865,3279.0,thomascook
Web Push,Sent,Maldives - Alimatha Aquatic Resort,197699,841.0,thomascook
Email,Sent,Best Season to Explore Dubai 🌏 🛫,477049,4309.0,thomascook
Web Push,Sent,Himachal,203855,962.0,thomascook
Web Push,Sent,Spanish Bliss,195450,722.0,thomascook
Email,Sent,It's Cherry Blossom in Japan & it's once-in-a-lifetime experience. 🌸,1221045,2305.0,thomascook
Web Push,Sent,Exotic Kashmir with Gulmarg - Air Inclusive ✈️,205939,891.0,thomascook
Email,Sent,🛕 Experience Spiritual Bliss : Char Dham Yatra 2023.,589664,1184.0,thomascook
Web Push,Sent,Asian Dhamaka - Flight Inclusive ✈️,206607,977.0,thomascook
Web Push,Suspended,Exotic Kashmir with Gulmarg - Air Inclusive ✈️,0,0.0,thomascook
Email,Sent,Buy Forex with a Best Price Guarantee 💱🤑,1984984,1974.0,thomascook
Email,Sent,Buy Forex with a Best Price Guarantee 💱🤑,19042,105.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",204886,470.0,thomascook
Web Push,Sent,Simply Thailand - Flights Inclusive ✈️,190824,867.0,thomascook
Web Push,Sent,Experience Andaman with Neil,197150,767.0,thomascook
Web Push,Sent,Vibrant Vietnam With Thailand - Air Inclusive ✈️,202689,853.0,thomascook
Email,Sent,Thomas Cook Launches Europe Summer Holidays,13429,58.0,thomascook
